Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Predictions,Interest_Rates
LP001002,1,0,0,0,0,5849,0.0,146.41216216216216,360.0,1.0,2,1,Medium-High
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,1,Extremly High
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,Low
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,Extremly High
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,Medium
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,Medium
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,Extremly High
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,Denied
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,Extremly High
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,Denied
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,Extremly High
LP001027,1,1,2,0,2,2500,1840.0,109.0,360.0,1.0,2,1,Medium
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,Extremly High
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,1,Extremly High
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,Low
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,Medium
LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,0.8421985815602837,2,1,Extremly High
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,Denied
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,1,Extremly High
LP001041,1,1,0,0,2,2600,3500.0,115.0,342.0,1.0,2,1,Extremly High
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,Denied
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,High
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,Denied
LP001050,2,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,Denied
LP001052,1,1,1,0,2,3717,2925.0,151.0,360.0,0.8421985815602837,1,1,Medium-High
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,Extremly High
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,Extremly High
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,Low
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,Denied
LP001087,0,0,2,0,2,3750,2083.0,120.0,360.0,1.0,1,1,Extremly High
LP001091,1,1,1,0,2,4166,3369.0,201.0,360.0,0.8421985815602837,2,1,Extremly High
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,1,Medium-High
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,1,Medium-High
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,Extremly High
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,1,Extremly High
LP001106,1,1,0,0,0,2275,2067.0,146.41216216216216,360.0,1.0,2,1,Extremly High
LP001109,1,1,0,0,0,1828,1330.0,100.0,342.0,0.0,2,0,Denied
LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,Extremly High
LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,Low
LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,Low
LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,1,Medium-High
LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,Medium
LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,0.8421985815602837,2,1,Low
LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,Extremly High
LP001136,1,1,0,1,1,4695,0.0,96.0,342.0,1.0,2,1,Extremly High
LP001137,0,0,0,0,0,3410,0.0,88.0,342.0,1.0,2,1,Extremly High
